descrizione,label,dominio
basamento innalzano lesene laterali reggenti timpano curvilineo sportello metallo pellicano sfama piccoli rilievo,High_Quality,Architettura
teatro comunale de micheli origine primi novecento volonta privato cittadino enrico de micheli acquisto porzione suolo pubblico posto piazza vittorio emanuele ii scopo erigervi accordo amministrazione comunale propria abitazione sala teatrale struttura assai semplice costituita platea sola galleria sostenuta colonne lignee platea libera sedute venivano sistemate occorrenza teatro realizzato de micheli rispondeva esigenza culturale ricreativa molto sentita parte comunita copparese zone limitrofe mancanza strutture idonee accogliere pubblici spettacoli circostanza lungo lamentata stampa tempo inaugurazione luogo maggio opera lirica barbiere siviglia gioacchino rossini solco migliore tradizione musicale italiana ben consolidata fin ottocento teatro risulto assai attivo offrendo repertorio piuttosto diversificato costituito rappresentazioni opere liriche spettacoli varieta proiezioni cinematografiche spettacoli comico dialettali amministrazione comunale sala divenne inoltre luogo deputato funzioni pubbliche rappresentanza inoltre disposizione autorita politiche locali inizio anni venti denunciava aspetto disadorno pessimo stato tanto essere piu idonea funzioni proprie pertanto proprietario decise procedere completo rifacimento ampliamento teatro incaricando progetto ingegnere ferrarese mario chinarelli opere dato edificio configurazione conservata fino attualita favorevolmente accolte commissione vigilanza teatri comune amministrazione de micheli ottenne concessione gratuita terreno attuare necessario ampliamento adeguato oramai indispensabile esigenze moderno teatro sito cittadina capoluogo mandamento popolazione circa abitanti architettonicamente teatro de micheli rappresenta buon esempio edilizia teatrale primo novecento spazi distribuiti modo funzionale sala costituita oltre platea palchi gallerie distribuiti tre livelli andamento u semplici eleganti decorazioni stucco gusto vagamente liberty caratterizzano ambiente presenza golfo mistico palcoscenico ampio dotato corredo necessario corretto svolgimento rappresentazioni rende teatro adatto ogni tipo spettacolo passato infatti certa fortuna attirando spettatori centri limitrofi ancora oggi puo rappresentare territorio polo culturale notevole entita dopo seconda guerra mondiale trasformato cinematografo restando attivo fino completamente inutilizzato oltre vent anni stato acquistato comune intento procedere recupero struttura stato vincolato soprintendenza beni ambientali architettonici ravenna stati avviati interventi recupero progetto affidato comune architetto ettore vio studio associato vio fassina mestre progetto restauro proposto oltre necessaria messa norma impianto adeguata valorizzazione elementi decorativi arricchiscono superfici pieno recupero valori culturali caratterizzano immobile ripristinando conformazione macchina teatrale spazi riservati pubblico particolare cura aspetti legati visibilita acustica riapertura teatro luogo ottobre riapertura stagioni teatrali gestite direttamente comune susseguono regolarmente cartellone denso proposte diversificate spettacoli prosa teatro dialettale intrattenimenti musicali qualita quali concerti operette messa scena opera lirica stagione finora state proposte opere verdiane traviata trovatore nabucco assai apprezzate pubblico mancano inoltre teatro ragazzi laboratori teatrali indirizzati adulti ragazzi foyer ricavato appartamento ex proprietario dotato spazio adeguato allestimento mostre fotografiche arte contemporanea artisti locali realizzate collaborazione copparo arte iniziativa riscosso buon successo tanto calendario esposizioni risulta assai denso sito stesso teatro lt href http www teatrodemicheli it rel nofollow title apri collegamento esterno gt lt href http www teatrodemicheli it rel nofollow title apri collegamento esterno gt www teatrodemicheli it lt gt lt gt possibile consultare oltre ampia scheda tecnica notizie storiche specifica sezione relativa restauro realizzato,High_Quality,Architettura
ponte nossa is small village located at the orobie pre alps at around thirty km from bergamo italy its name could be translated as bridge on the nossa river though this is just one of many hypotheseson the name s origins the nossa is very short river nevertheless endowed with high constant flow its springs currently feed the water supply system of the chief town bergamo and around thirty villages the same province the xvth century these springs provided the necessary water for the functioning of four huge hydraulic hammers for iron working and later also for some fulling mills iron was brought to the hammers from mines the nearby mountains was smelled and forget to make nails spades hoes or other objects used by local farmers the cultural association associazione magli nossa supported by the municipality of ponte nossa was re founded with the aim of restoring the area where these preindustrial structures were built bringing back to life its ancient traditions what else to see ponte nossa the parish church an sanctuary which contains sacred image of our lady who cried blood on june the small church of san bernardino on the river serio and the former cotton mill de angeli frua now an excellent example of industrial archaeological site,High_Quality,Architettura
sociale theater the teatro sociale was instituted with the initiative of group of nobles and bourgeois people from amelia the theater is extraordinarily similar architectural style structuring and design to the teatro fenice of venice which was designed by the perugian academic gian antonio selva who was colleague at the academy of design of the count stefano cansacchi the architect who designed the teatro sociale the essential structure was raised as is indicated the entablature above the main entrance of the theater where the motto honesto civium oblectamento for the pleasure of the townspeople admonishes the orchestra pit dates from and was opened to respond to the new needs of lyric opera the boxes of the proscenium the theater apart from the loggia has boxes available distributed three orders were realized between and the decorations and the frescoes of domenico bruschi active theatrical decorations as the caio melisso of spoleto were executed of the same artist are the decorations of the stage curtain with the splendid siege of amelia by frederick barbarossa and the vault ceiling of the hall called salone ridotto famous for its malicious perspective trompe œil it was restructured between and with huge financial contribution of the societa teatrale december it was reopened to the public amelia s theater is one of the rarest examples of what remains of th century theaters made wood from the structures to the scenic machines and mechanisms which have worked perfectly during the course of its history the teatro sociale is still today property of the societa teatrale which was founded for the purpose of its construction it has hosted almost the major lyrics of the th and th century italian repertoire with the participation of the most important italian and foreign artists not counting the symphonic orchestra and chamber music performances it is also worth mentioning its wide stage of notable height that has been used as scene for movies and some of them are very popular like the marchese grillo with alberto sordi as the main actor or the pinocchio of comencini with nino manfredi,High_Quality,Architettura
immagine scattata studio fotografico zancolli palazzo governo fase costruzione spezia lavori costruzione edificio iniziarono dopo giunta provinciale spezia delibero realizzare palazzo provincia secondo progetto ingegneri nino ferrari franco oliva,High_Quality,Architettura
edificio pietra tufo volte piani terra primo solai piani primo secondo blocco tipo regolare,High_Quality,Architettura
prospetto scala stabilimento bagni termali antonimina febbraio progetto approvato servizio generale corpo reale genio civile reggio calabria data aprile,High_Quality,Architettura
settore meridionale citta conservano tracce spazio lastricato circondato doppia fila basi quadrangolari pilastri probabilmente sostenevano tettoia legno struttura stata interpretata piazza trovava mercato circondata porticato presenza numerosi elementi reimpiego inducono datarla eta tardo imperiale sud edificio riconosce lungo tratto muro cinta citta romana basamento torrione quadrangolare probabili tracce camminamento presso lato interno settentrionale mura realizzate conglomerato spessore circa m riutilizzano anch esse struttura mercato materiale architettonico precedente qui conserva iscrizione onoraria senatore tito cesernio stazio quinzio macedone risalente inizio ii secolo d,High_Quality,Architettura
situata centro storico oristano torre san cristoforo detta mariano ii porta manna periodo medievale porte d ingresso citta attestato iscrizione tempo inserita torre oggi conservata antiquarium arborense costruita rappresenta oggi pochi elementi superstiti cinta muraria cittadina fatta costruire giudice d arborea mariano ii edificio simbolo citta giudicale costruita arenaria altezza complessiva metri compone due corpi sovrapposti entrambi base quadrata corpo principale sviluppa u lato aperto rivolto verso interno citta costituito tre piani sovrapposti ultimo piano eleva torretta merlata piu piccola conservata campana piu grandi esistenti isola parte bassa torre apre arco sesto volta apre arco sesto acuto dimensioni inferiori denominazione torre san cristoforo deve retablo san cristoforo tempo custodito struttura,High_Quality,Architettura
sfinge caricata originariamente guisa cariatide mensola capitello ora scaricata peso stesso esposto separatamente corpo stretto appiattito lati proiettato avanti rispetto muro fondo cosi testa rispetto corpo profilo disegna linea sinuosa volto piuttosto inespressivo fisso mutilo naso zona parietale destra collo adornato foglie d acanto capigliatura scende lati collo priva rilievo ali addossate corpo sommita capo elemento prismatico alloggiamento capitello impostata plinto semicolonna romanica foglie d angolo,High_Quality,Architettura
capitello doppio spigolo decorato ricche foglie d acanto allungate grossi riccioli spigoli centro decorazione fitomorfa calice grande fiore pentapetalo sommita,High_Quality,Architettura
raccolta immagini digitali tratte originali conservati presso archivio fotografico soprintendenza beni architettonici paesaggio liguria immagini derivano digitalizzazione fotografie stampate bianco nero carta vecchie cartoline identificate numerazione progressiva state prodotte modalita grayscale dpi formato va x x pixel foto state digitalizzate fini ricerca parte originali consiste riproduzioni scatti realizzati alfred noack testimoniano ricchezza interni palazzo fastoso apparato decorativo attivita digitalizzazione genera tutte raccolte immagini facenti capo archivio fotografico archivio disegni soprintendenza beni architettonici paesaggio liguria costituisce processo itinere presente collezione minima parte digitalizzata vasto patrimonio cartaceo soprintendenza dispone oggetto palazzo doria pamphilj,High_Quality,Architettura
lastra rettangolare iscritta forma stele poggia base fronte raffigurato bassorilievo incrocio due torce legate nastro lapide corredata alto timpano arcato ornati rilievo ovoli croce sommita,High_Quality,Architettura
