oggetto,id,tipologia,titolo,descrizione
https://w3id.org/arco/resource/ArchaeologicalProperty/0900200455,0900200455,applique,buon pastore,figura maschile rappresentata secondo schema iconografico cristiano buon pastore stante posizione frontale indossante clamide fasciae crurales supporto ligneo moderno
https://w3id.org/arco/resource/ArchaeologicalProperty/0900268595,0900268595,fibula,fibula,tipo sundwall g arco sanguisuga lunga decorazione rilievo arco tre costolonature mediane longitudinali gole fute base staffa ornata zig zag parte anteriore sormontata protome felino particolari incisi occhi orecchie criniera estremita
https://w3id.org/arco/resource/ArchaeologicalProperty/0900277320,0900277320,urna/ cineraria,urna cineraria,urna corpo cilindrico profilo leggermente convesso incorniciato inferiormente modanature orlo indistinto superiormente piatto provvisto risega alloggiamento coperchio specchio epigrafico ribassato riquadrato cornice collocato sommita corpo urna subito sotto orlo esso anepigrafe
https://w3id.org/arco/resource/ArchaeologicalProperty/0900277325,0900277325,statua/ maschile,dioniso,statua mutila efebo pantera figura corporatura snella robusta stante gamba ds sin flessa spostata lato coscia leggermente avanzata rispetto coscia ds busto lievemente piegato fianco sin impubere esterno gamba ds sol blocco essa tronco d albero base pantera zampa anteriore sin sollevata poggiata sopra grosso grappolo d uva davanti tronco solidale esso invece parte inferiore bastone eretto verticalmente fra figura maschile pantera
https://w3id.org/arco/resource/ArchaeologicalProperty/0900277330,0900277330,statua/ maschile,statua maschile,parte statua maschile nuda conserva busto parte gambe figura corporatura robusta possente stante gamba ds sin spostata lato leggermente ruotata verso esterno ritmo chiastico chiaramente ravvisabile curvatura linea alba inclinazione busto verso fianco ds diversa posizione spalle sin piu alta braccia probabilmente abbassate ds leggermente piu scostato torso rispetto sin lato ds collo muscolo sembra piu rigonfio supporre rotazione testa verso sin
https://w3id.org/arco/resource/ArchaeologicalProperty/0900277334,0900277334,testa/ femminile,testa femminile,testa femminile ideale rivolta verso sin leggermente inclinata lato volto giovanile ovale pieno lineamenti delicati capelli discriminati centro fronte scendono due bande ondulate verso orecchi confluire poi grossa crocchia raccolta nuca lato ds capo conserva parte fascia liscia sembra trattenere capelli sopra banda rigonfia ciocche condotte fronte lati capo
https://w3id.org/arco/resource/ArchaeologicalProperty/0900277335,0900277335,"testa/ maschile, ritratto",testa maschile ritratto,testa maschile ignoto leggermente rivolta verso sin volto largo appiattito altezza zigomi fronte corrugata sopracciglia aggrottate cavita orbitali profonde occhi piccoli forellino trapano presso angolo interno naso largo lievemente arcuato profonde pieghe naso labiali mento piccolo leggermente prominente corta capigliatura pettinata vertice ciocchette arcuate definite sinuose poco profonde solcature capelli piu radi fronte leggermente stempiata insieme aspetto generale volto suggeriscono eta matura personaggio
https://w3id.org/arco/resource/ArchaeologicalProperty/0900277336,0900277336,testa/ femminile,afrodite,testa femminile ideale leggermente rivolta ds volto ovale allungato lavorato superfici ampie lisce caratterizzato lineamenti delicati scolpiti raffinatezza occhi mandorla palpebre sottili nettamente delineate spigolo vivo bocca carnosa lievemente dischiusa capelli stretti benda visibile subito sopra fronte dispongono lati volto due morbide bande ondulate quali confluiscono nuca mentre rimanenti ciocche scendono collo
https://w3id.org/arco/resource/ArchaeologicalProperty/0900277337,0900277337,testa/ maschile,ignoto,testa maschile ignoto leggermente rivolto ds volto ovale allungato occhi grandi caruncola lacrimale nettamente evidenziata segnata forellino trapano bocca leggermente dischiusa mento arrotondato capelli pettinati vertice lunghe spesse ciocche quasi lisce internamente percorse sottili solcature fronte terminazioni ciocche formano forcella tenaglia sopra angolo esterno rispettivamente occhio ds occhio sin retro ciocche scendono vertice verso nuca appaiono disposte secondo conformazione stellare
https://w3id.org/arco/resource/ArchaeologicalProperty/0900277339,0900277339,testa/ maschile,dioscuro,testa leggermente rivolta sinistra volto ovale allungato tratti giovanili lineamenti regolari alta fronte triangolare occhi piccoli mandorla spesse palpebre superiori angolo interno occhi segnato forellino trapano bocca piccola forse leggermente dischiusa volto incorniciato lunghi capelli ricciuti fuoriescono pileos scendendo lati capo dietro collo unica massa rigonfia profondamente scavata trapano centro fronte bipartiscono simmetriche due spesse ciocche andamento sinuoso
