oggetto,id,tipologia,titolo,descrizione
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455038,0100455038,Conchiglia,tridacna gigas filippine,meta conchiglia bivalve gigante molto spessa quattro sporgenze triangolari rivolte verso interno apertura guscio superficie intera colore bianco perlato superficie esterna colore grigio chiaro numerose striature colore piu scuro
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455040,0100455040,Ciotola,ipu isole hawaii,ciotola legno forma semisferica superficie levigata interno esterno accompagnata reticella fibra cocco intrecciata specifico tipo reticella riservato uso parte persone comuni conosciuto nome koko pu alu realizzato utilizzando serie umi nodi pescatore
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455041,0100455041,banderillas,banderillas spagna,coppia banderillas usate rituale corrida tratta bastoni legno punte metalliche fissate estremita superiori ricoperti strisce carta color marrone chiaro avvolte spirale attorno aste lato superiore strisce ritagliato sezioni circa mezzo centimetro larghezza
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455042,0100455042,borsa,borsa abbigliamento ornamenti corpo accessori ambito arabo,borsa cuoio color marrone chiusura patta piccola tasca interna cucita corpo borsa stessa patta chiude due alamari laterali piccola fibbia centrale intagliata creare tre sezioni forma semiovale bordate colore piu chiaro sezione centrale presenta cucita superficie esterna applicazione decorativa forma arabesco due sezioni laterali decorate applicazioni piu piccole meno elaborate intera superficie borsa presenta incisioni geometriche decorative
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455043,0100455043,cesto,tai terra fuoco,cestino forma semisferica manico realizzato giunco intrecciato privo decorazioni
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455044,0100455044,faretra,faretra strumenti accessori caccia pesca terra fuoco,faretra pelle foca contenente frecce punta tipicamente usata caccia uccelli punta semisferica frammenti senza punta superficie esterna faretra presenti tracce pelo animale nota manoscritta accompagna artefatto specifica punte frecce alcune pietra altre vetro bottiglie trovano volte spiaggia
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455045,0100455045,Tavola,tavola arredi suppellettili filippine,tavola legno grandi dimensioni ricavata unica asse presenti evidenze lavorazione piegatura parte anteriore inchiodato cornicetta legno vetro contenente nota manoscritta sopracitata
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455046,0100455046,Decorazione (mezza zucca),decorazione rappresentazioni profane guatemala,decorazione forma semisferica ritratto umberto savoia ricavata mezza zucca disidratata superficie esterna ricoperta sottile strato lacca nera stato inciso disegno basso sinistra raffigurato stemma casa savoia mentre lato opposto riportata indicazione m chaves guatemala probabilmente riferita manifattura anno produzione parte alta mezza zucca presente laccetto tessuto rosso giallo passante foro usato appendere decorazione
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455047,0100455047,sacca per pipa,pipe bag popolazioni indigene pianure nord america,sacca pelle cervo alta stretta sezione centrale sacca interamente coperta decorazione motivi geometrici realizzata perline vetro colore rosso blu verde bianco nero due lati parte pelle apertura bordati applicazioni simili sacca chiude laccio pelle estremita decorate aghi porcospino tinti rosso nappine crine cavallo medesimo colore altre nappine stesso tipo applicate parte superiore pannello perline sotto quest ultimo presenti strisce pelle ricoperte lavorazione realizzata aghi porcospino tinti rosso blu bianco parte bassa sacca costituita frangia strisce pelle piu sottili tinte
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455048,0100455048,mocassini da bambino,mocassini bambino abbigliamento ornamenti corpo calzature popolazioni indigene pianure nord america,paio mocassini bambino pelle cervo decorazioni geometriche perline vetro rosse blu verdi bianche applicate parte anteriore tradizionalmente tipo mocassini ricavato unico pezzo pelle caso presente artefatto suola cucita corpo calzatura
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455049,0100455049,mocassini da bambino,mocassini bambino abbigliamento ornamenti corpo calzature popolazioni indigene pianure nord america,paio mocassini bambino pelle cervo decorazioni geometriche perline vetro rosse blu verdi bianche azzurre applicate coprire intera superficie parte anteriore bordo inferiore tradizionalmente tipo mocassini ricavato unico pezzo pelle caso presente artefatto suola cucita corpo calzatura
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455050,0100455050,arco,arco strumenti accessori caccia pesca terra fuoco,arco legno corda impugnatura nervi foca
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455051,0100455051,Tessuti,tessuti arredi suppellettili contenitori recipienti oggetti uso domestico corea,strisce seta bianca lavorata arrotolate ogni striscia tessuto ripiegata stessa lato lungo
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455052,0100455052,Mazza,mazza strumenti accessori armi armature isole pacifico,mazza legno palma cocco sezione romboidale parte alta meta inferiore presenta impugnatura tessuto resto parte inferiore coperto strisce alternate filo fibra vegetale filo metallico corteccia termina punta utile appoggiare arma terra
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455053,0100455053,Attestato,attestato societa africana d italia napoli,attestato rilasciato societa africana d italia duca tommaso savoia genova nominato presidente onorario societa data giugno attestato contenuto cornice legno decorazioni geometriche rosse gialle nere
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455054,0100455054,arco,arco strumenti accessori caccia pesca isole pacifico,arco legno palma cocco quasi interamente avvolto rafia color beige decorazioni geometriche colore piu scuro parte centrale arco piatta larga restringe due estremita
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455055,0100455055,Tessuti,tessuti arredi suppellettili contenitori recipienti oggetti uso domestico corea,strisce seta grezza arrotolate colore beige chiaro
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455056,0100455056,Telo di corteccia,tapa masi isole fiji,telo grandi dimensioni corteccia d albero base colore beige chiaro quasi interamente coperta decorazioni geometriche colore marrone piu scuro
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455057,0100455057,Telo di corteccia,tapa masi seyavu isole fiji,telo grandi dimensioni corteccia d albero colore bianco beige chiaro bordi laterali sfrangiati due lati inferiori terminano porzioni tela rarefatta
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455058,0100455058,Modellino di jinrikisha,modellino jinrikisha rappresentazioni profane giappone,modellino jinrikisha realizzato guscio tartaruga cappotta seta bianca
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455059,0100455059,frutto essiccato noce di cocco,frutto essiccato noce cocco arredi suppellettili n,noce cocco essiccata scuotendola sente frutto disidratato muove dentro guscio pallina
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455060,0100455060,frutto essiccato sapodilla,manilkara zapota n,sapodilla essiccata scuotendola sente frutto disidratato muove dentro guscio pallina
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455061,0100455061,ventaglio,phatyot siam,ventaglio penne d oca color grigio lungo manico legno punto penne convergono centro innesta manico applicate decorazioni colorate tessuto parte superiore manico coperta striscia tessuto color viola dorato presente ventaglio modellato imitare forma tradizionali talipot ventagli foglie palma
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455062,0100455062,Penne di uccello lira,penne uccello lira arredi suppellettili australia,due penne caudali uccello lira colore beige marrone circondate altre penne piu sottili color grigio penne unite base supporto tessuto leggermente imbottito posizionate modo riprodurre naturale conformazione coda animale
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455063,0100455063,sacchetto contenente 23 palline di legno,sacchetto contenente palline legno strumenti accessori ludici siam,sacchetto tessuto nero contenente palline legno decorate strisce dipinte vari colori base ogni pallina presente applicazione carta forma fiore secondo riportato nota oggetti spediti palazzo chiablese aglie sopra citata palline conterrebbero monete d argento
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455064,0100455064,acquasantiera (conchiglia),tridacna gigas ritualita oggetti devozionali filippine,meta conchiglia bivalve gigante molto spessa quattro sporgenze triangolari rivolte verso interno apertura guscio trasformata acquasantiera fondo presente scolo acqua
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455065,0100455065,Tessuti,tessuti arredi suppellettili n,due lunghe strisce tessuto colore grigio beige frange piu punti lungo lato superiore stati inseriti probabilmente periodo successivo produzione chiodi
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455066,0100455066,lancia,lancia strumenti accessori armi armature somalia,lancia punta ferro lama forma foglia d ulivo codolo lega ferro sagomato avvolto fili lega rame
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455067,0100455067,lancia,lancia strumenti accessori armi armature somalia,lancia asta sezione cilindrica bambu fratturata estremita probabilmente pertinenza lama quest ultima larga base restringe meta lunghezza va poi formare grande freccia codolo avvolto fili lega rame
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455069,0100455069,lancia zagaglia,lancia zagaglia strumenti accessori armi armature somalia,lancia asta sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama formata due frecce contrapposte codolo avvolto fili lega rame estremita finale asta applicato piccolo contrappeso ferro arrotolato
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455070,0100455070,lancia zagaglia,lancia zagaglia strumenti accessori armi armature somalia,lancia asta nodosa sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama forma foglia d ulivo codolo avvolto fili lega rame estremita finale asta applicato piccolo contrappeso ferro arrotolato
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455071,0100455071,lancia zagaglia,lancia zagaglia strumenti accessori armi armature somalia,lancia asta nodosa sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama forma foglia ulivo dentellata entrambi lati estremita finale asta applicato piccolo contrappeso ferro arrotolato
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455072,0100455072,lancia,lancia strumenti accessori armi armature somalia,lancia asta nodosa sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama forma foglia ulivo parte trattata azzurratura ottenere differente effetto cromatico codolo avvolto fili lega rame
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455073,0100455073,lancia zagaglia,lancia zagaglia strumenti accessori armi armature somalia,lancia asta nodosa sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama forma foglia ulivo grande costa centrale parzialmente brunita codolo decorato motivo scacchiera realizzato mediante brunitura estremita finale asta applicato piccolo contrappeso ferro arrotolato
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455074,0100455074,lancia zagaglia,lancia zagaglia strumenti accessori armi armature somalia,lancia asta sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama forma foglia d ulivo codolo avvolto fili lega rame estremita finale asta applicato piccolo contrappeso ferro arrotolato
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455075,0100455075,lancia zagaglia,lancia zagaglia strumenti accessori armi armature somalia,lancia asta nodosa sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama forma foglia ulivo codolo ritorto creare effetto decorativo estremita finale asta applicato piccolo contrappeso ferro arrotolato
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455076,0100455076,lancia zagaglia,lancia zagaglia strumenti accessori armi armature somalia,lancia asta sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama forma punta freccia presenta due uncini retrostanti parte inferiore codolo avvolto fili lega rame estremita finale asta applicato piccolo contrappeso ferro arrotolato
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455078,0100455078,lancia zagaglia,lancia zagaglia strumenti accessori armi armature somalia,lancia asta sezione cilindrica legno sottile flessibile essiccato lucidato punta ferro innestata pressione lama forma foglia d ulivo molto allungata brunita parte centrale codolo avvolto fili lega rame estremita finale asta applicato piccolo contrappeso ferro arrotolato
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455079,0100455079,freccia,freccia strumenti accessori armi armature somalia,freccia asta sezione cilindrica legno sottile flessibile essiccato lucidato intagli geometrici estremita superiore porzione parte finale centrale avvolte corda punta ferro cuspide larga presenta due barbigli parte bassa lama collegata asta tramite corda impregnata materiale bituminoso
https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/0100455080,0100455080,freccia,freccia strumenti accessori armi armature somalia,freccia asta sezione cilindrica legno sottile flessibile essiccato lucidato porzione parte centrale avvolta corda punta ferro cuspide larga presenta quattro barbigli parte bassa lama collegata asta tramite corda impregnata materiale bituminoso
