oggetto,id,tipologia,titolo,descrizione
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500704131,0500704131,maschera,pulcinella maschera commedia arte sartori donato,maschera modellata cuoio dipinto bianco patinato stampo legno bordi maschera altezza occhi due viti filo elastico permette calzarla viso
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500704143,0500704143,maschera,truffaldino maschera commedia arte sartori donato,maschera modellata cuoio patinato stampo legno lato sinistro fronte presente accenno corno rosso bordi maschera altezza occhi due fori filo elastico permette calzarla viso
https://w3id.org/arco/resource/Lombardia/HistoricOrArtisticProperty/0302126313,0302126313,lattiera,grappolo d uva by ceramiche pareschi,lattiera corpo globulare piede circolare manico schiacciato beccuccio sporgente fondo bianco decorato grappolo d uva bordo rifinito verde
https://w3id.org/arco/resource/Lombardia/HistoricOrArtisticProperty/0302021552,0302021552,scultura,kappa granchio creatura fantastica animale ikkosai toun,netsuke raffigura granchio posato kappa zampa anteriore sinistra trattenuta chela destra mollusco due fori himotoshi ubicati lato inferiore composizione
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500705036,0500705036,dipinto,serenata studio figure azione scenica by fo dario,dipinto colori eseguito inchiostro pittura tempera acquerellata foglio carta bianca studio figure azione scenica centro due figure umane chitarra mano ballano agitando braccia sinistra maschera luna destra telo bianco asino scalcia figure variopinte piano ocra sfondo blu
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500704138,0500704138,maschera,volto maschile by fo jacopo,maschera modellata cartapesta volto dipinto nero decorazioni pittoriche colore bianco oro lato destro fronte presente accenno corno bordi maschera altezza occhi fissato filo elastico permette calzarla viso
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500704815,0500704815,dipinto,autoritratto autoritratto giovanile dario fo fo dario,dipinto eseguito inchiostro acquerello foglio carta bianca autoritratto giovanile dario fo mezzo busto profilo tre quarti giovane fo raffigurato camicia maglione bottoni interno abitazione tonalita colore utilizzate bianco grigio abiti nero capelli beige marrone viso sfondo
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500704972,0500704972,collage,interno abitazione fo dario,collage eseguito ritagli carta stampata incollata pittura tempera foglio carta nera raffigurante interno abitazione primo piano tavolo rotondo bottiglia bicchiere poltrona rossa panca secondo piano altri elementi arredo tavoli sedie lampade mobilia oggetti variopinti
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500704127,0500704127,maschera,pantalone maschera commedia arte sartori donato,maschera modellata cuoio stampo legno dipinta patinata colore rosso lunghe sopracciglia setole bordi maschera altezza occhi due fori filo elastico permette calzarla viso
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500704454,0500704454,burattino,giudice maschera by ferrari giordano fo dario,burattino testa mani legno dipinto veste cotone colore beige abito mo toga composto sopravveste nera polsini beige cinturino fibbia metallica mantello nero bordatura fodera interna rossa colletto bordo ricamato mo gorgiera color beige testa legno cavo maschera lunghi baffi
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500365675,0500365675,miniatura,mcmxv mcmxviii fasti valore sacrificio onorificenze leoni nestore,volume pagine miniate legatura pelle marrone decorata profili dorati angoli quattro borchie bronzo centro stemma savoia regno d italia ceramica smalto dorso piatto nervi chiusura due fermagli bronzo
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0901392584,0901392584,dipinto,madonna bambino san giovannino by vannucchi andrea detto andrea sarto,tavola inserita cornice finemente intagliata rappresenta madonna grembo gesu bambino san giovannino destra posizione eretta composizione serrata forza protagonisti entro schema rettangolare articolazione complessa incastri artificiosi figure sottolineati figura allungata san giovannino aspra tensione lineare appartengono opere dipinte andrea sarto collaboratori gia prima decade cinquecento
